frame_idx,time_s,yolo_bike_count,conf_mean,true_bike_count,notes
15,0.5001050420168067,1,0.7345598936080933,,
20,0.6668067226890756,1,0.8614120483398438,,
25,0.8335084033613445,1,0.879136860370636,,
30,1.0002100840336134,1,0.8934716582298279,,
35,1.1669117647058822,1,0.9199775457382202,,
40,1.3336134453781512,1,0.7885064482688904,,
45,1.5003151260504202,1,0.42208799719810486,,
100,3.334033613445378,1,0.2586555778980255,,
105,3.500735294117647,1,0.7760379910469055,,
110,3.667436974789916,1,0.7194177508354187,,
115,3.834138655462185,1,0.32925859093666077,,
180,6.001260504201681,1,0.7869225144386292,,
185,6.167962184873949,1,0.784088671207428,,
190,6.334663865546219,1,0.8625363111495972,,
195,6.501365546218487,1,0.4818618595600128,,
200,6.668067226890756,1,0.5525779724121094,,
205,6.834768907563025,1,0.2901054620742798,,
